title,artist,winner,year,lyrics
Sliding down the towers, it all smelt fake

He needed answers not advice
Intending to devise
A lengthy train of torture for the fool
Who thought a seance would suffice
Or sighted, furred in dragonflies
The signature of Satan on a wall

Sweetest Maleficia

Alchemists and sorcerers stitched his head
With the stench of pitch and myrrh

Planchette to Blanchet, from ghosts to a priest
Returning with a spider for the poisonous feast
The Italian astrologer Prelati, spinning sin
His fingertips were scented with
The tears from seraphim cheeks
Part glamour and a hammer
Cadaverous and glib
Commanding in a voice of frozen peaks

He would have his demon
He would have his gold
Out of control Gilles' soul was sold
Under mistletoe and the glistening snow
Kissing in the shadow of abandoned saviors

[Gilles:]
So I shall conjure thee
Demons of the netherworld

The air was sick with trepidation
Despair and desperation
Then he fixed his covenant in blood
Now all was rich and tapestried
Fragrant wine to shitty mead
His new world opened with a claret flood

Time was right, this wretched night
To etch the circles clear again...
As a labyrinth of razors led a blind man to the stars
So too Prelati brought the dark
It's name was Barron, eyes like catastrophic tar
Imbibed with fire
They fed him shredded infants on an altar full of scars

Entangled in a dream
The mirrors full of steam
He scarce could see Joan's face reflecting through

His last attempt to grasp at God
Lay blackened in a holy fog
And now there were only devils to pursue

Gilles was wrapped in a velvet spell
Of Hell and her seductions

The assassinated days as a Caesar gone by
Barron, spitting acid, as his magical guide
Lit demonic pyres where once dying embers writhed

Sweetest Maleficia
Sweetest MaleficiaEmbed"
The Chipmunk Song,David Seville And The Chipmunks,0,1958,"The Chipmunk song Lyrics[Dave:] Alright you Chipmunks, Ready to sing your song?
[Alvin:] I'd say we are
[Theodore:] Yeah, Lets sing it now!
[Dave:] Okay, Simon?
[Simon:] OK
[Dave:] Okay, Theodore?
[Theodore:] OK
[Dave:] Okay Alvin?...Alvin?...ALVIN!!!
[Alvin:] OKAY!!

[Chipmunks:]
Christmas, Christmas time is near
Time for toys and time for cheer
We've been good, but we can't last
Hurry Christmas, hurry fast
Want a plane that loops the loop
[Alvin:] Me, I want a Hula-Hoop
[Chipmunks:]
We can hardly stand the wait
Please Christmas don't be late
[Dave:] Ok Fellas, Get ready
That was very good, Simon
[Simon:] Naturally!
[Dave:] Very Good Theodore
[Theodore:] He He He He
[Dave:] Uh Alvin, You were a little flat
Watch it, Alvin...Alvin?...ALVIN!!!
[Alvin:] OKAY!!
You might also like[Chipmunks:]
Want a plane that loops the loop
[Alvin:] I still want a Hula-Hoop
[Chipmunks:]
We can hardly stand the wait
Please Christmas don't be late
We can hardly stand the wait
Please Christmas don't be lateEmbed"
Fever (Single),Peggy Lee,0,1958,"Jaden Smith Discography Lyrics2012
Flame (Just Cuz) (SINGLE)
Give It To Em' (SINGLE)
The Coolest (SINGLE)
Cool Tape Vol. 1: The Cool Cafe (MIXTAPE)

2014
CTV2 (MIXTAPE)

2015
This Is The Album (E.P)

2016
Fallen (SINGLE)

2017
Batman (SINGLE)
Watch Me
Diamonds V1 (SINGLE VIA APPLE CONNECT)
Like Water (SINGLE VIA APPLE CONNECT)
Falcon (Ft. Raury) (SINGLE)
SYRE (ALBUM)

2018
Girl I'm In Love With You (SINGLE VIA APPLE CONNECT)
Icon (Ft. Nicky Jam) - Remix (SINGLE)
Icon (Ft. Nicky Jam & Will Smith) - Reggaetón Remix (SINGLE)
GHOST (SINGLE)
SYRE: THE ELECTRIC ALBUM (E.P)
BACK ON MY SH*T (SINGLE)
GOKU (SINGLE)
The Sunset Tapes: A Cool Tape Story (MIXTAPE)
You might also like2019
Watch Me - Remix (SINGLE)
ERYS IS COMING (2019) E.P
Again (PREMIERED ON APPLE MUSIC, THEN RELEASED AS A SINGLE)
ERYS (ALBUM)

2020
The Hottest (SINGLE)
Cabin Fever (SINGLE)
Rainbow Bap (SINGLE)
CTV3: Cool Tape Vol. 3 (ALBUM)
SURF'S UP (COMPILATION)

2021
BYE (SINGLE)
Summer (SINGLE)
CTV3: Day Trippers Edition (ALBUM)Embed"
Mack The Knife,Bobby Darin,1,1959,"Mack the Knife LyricsOh the shark, babe, has such teeth, dear
And he shows them pearly white
Just a jackknife has old Macheath, babe
And he keeps it outta sight

You know when that shark bites with his teeth, babe
Scarlet billows start to spread
Fancy gloves, though, wears ol' Macheath, babe
So there's never, never a trace of red

Now, on the side walk, ooh Sunday morning, uh huh
Lies a body just oozing life, eek
And someone's sneaking 'round the corner
Could that someone be Mack the Knife?

There's a tugboat down by the river, don't you know
Where a cement bag's just a-drooping on down
Oh, that cement is just, it's there for the weight, dear
Five'll get ya ten, ol' Mackie's back in town

Now did ya hear 'bout Louie Miller? He disappeared, babe
After drawing out all his hard earned cash
And now Macheath spends just like a sailor
Could it be our boy's done something rash?

Now, Jenny Diver, ho ho, Suky Tawdry
Ooh, Miss Lotte Lenya and ol' Lucy Brown
Oh, the line forms on the right, babe
Now that Mackie's back in town
You might also likeI said, Jenny Diver, woah, Suky Tawdry
Look out, Miss Lotte Lenya and ol' Lucy Brown
Yes, that line forms on the right, babe
Now that Mackie's back in town

Look out ol' Mackie is back6Embed"
The Three Bells,The Browns,0,1959,"The Three Bells LyricsThere's a village hidden deep in the valley
Among the pine trees half forlorn
And there on a sunny morning
Little Jimmy Brown was born

All the chapel bells were ringing
In the little valley town
And the songs that they were singing
Were for baby Jimmy Brown
Then the little congregation
Prayed for guidance from above
Lead us not into temptation
Bless this hour of meditation
Guide him with eternal love

There's a village hidden deep in the valley
Beneath the mountains high above
And there, twenty years thereafter
Jimmy was to meet his love

All the chapel bells were ringing
Was a great day in his life
Cause the songs that they were singing
Were for Jimmy and his wife
Then the little congregation
Prayed for guidance from above
Lead us not into temptation
Bless oh Lord this celebration
May their lives be filled with love
You might also likeFrom the village hidden deep in the valley
One rainy morning dark and gray
A soul winged its way to heaven
Jimmy Brown had passed away

Just a lonely bell was ringing
In the little valley town
Twas farewell that it was singing
To our good old Jimmy Brown
And the little congregation
Prayed for guidance from above
Lead us not into temptation
May his soul find the salvation
Of thy great eternal love""Embed"
Like Young (Single),Andre Previn,0,1959,"Artist Archive: Tab Hunter Lyrics1956-1957: ""Young Love"" era
Awards & Accomplishments
1957 - Number one on Billboard Charts (United States)
1957 - RIAA Certification (United States)
1957 - Fourth best-selling song of the year (United States)
Appearances & Shows
2/3/1957 - What's My Line?
1957 - Perry Como Show
Discography
12/15/1956 - ""Young Love"" - Single
1957 - ""Red Sails in the Sunset"" - Single
1/1957 - Young Love - EP
12/15/1956 - ""Young Love"" - Single
1957 - ""Red Sails in the Sunset"" - Single
1957 - ""Ninety-Nine Ways"" - Single
1957 - ""Don’t Get Around Much Anymore"" - Single
1957 - The Singing Star - EP
12/15/1956 - ""Young Love"" - Single
1957 - ""Red Sails in the Sunset"" - Single
1957 - ""Ninety-Nine Ways"" - Single
11/26/1957 - ""Don't Let It Get Around"" - Single
Filmography
9/1956 - ""The Burning Hills"" - Film
10/4/1956 - ""Forbidden Area"" (Playhouse 90) - TV show
1956 - ""The Girl He Left Behind"" - Film
Photoshoots
8/1957 - The Screen Album photoshoot
8/20/1956 - Natalie Wood's eighteenth birthday photoshoot
1956 - The Girl He Left Behind photoshoot
1957 - The poolside photoshoot
1957 - Calling All Girls photoshoot1958: Tab Hunter era
Discography
1958 - King of Young Love - EP
1958 - ""I’m Alone Because I Love You"" - Single
1958 - ""It's All Over Town"" - Single
1958 - ""I'm A Runaway"" - Single
1958 - The Silver Skates - Album
1958 - ""Ice"" - Single
1958 - ""The More The Merrier"" - Single
1958 - ""Clop, Clop, Clop"" - Single
1958 - ""Hello, Springtime"" - Single
1958 - Tab Hunter - Album
1958 - ""I Love You, Yes I Do"" - Single
1958 - ""My Baby Just Cares For Me"" - Single
1958 - ""I Want To Be With You Always"" - Single
1958 - ""I'll Never Be Free"" - Single
1958 - ""Time After Time"" - Single
1958 - ""Candy"" - Single
1958 - ""I Ain't Got Nobody"" - Single
1958 - ""Let's Pretend There's A Moon"" - Single
1958 - ""After You've Gone"" - Single
1958 - ""All Alone"" - Single
1958 - ""But Beautiful"" - Single
1958 - ""Funny"" - Single
1958 - ""Goodbye, Old Girl"" - Single
1958 - ""Two Lost Souls"" - Single
Filmography
2/9/1958 - ""Hans Brinker or the Silver Skates"" - TV special
2/27/1958 - ""Portrait Of A Murder"" (Playhouse 90) - TV show
2/28/1958 - ""Lafayette Escadrille"" - Film
7/1958 - ""Gunman’s Walk"" - Film
1958 - ""Damn Yankees"" - Film
Photoshoots
10/1958 - The Venetia Stevenson photoshoot
1958 - The Damn Yankees photoshoot
1958 - The Gunman’s Walk photoshoot1959: When I Fall In Love era
Awards & Accomplishments
1959 - Laurel Awards (United States)
Appearances & Shows
1959 - Commercial for Halo Shampoo
Discography
1959 - When I Fall In Love - Album
1959 - ""You Must Have Been A Beautiful Baby"" - Single
1959 - ""Nevertheless (I'm In Love With You)"" - Single
1959 - ""I Wish I Didn’t Love You So"" - Single
1959 - ""Long Ago (And Far Away)"" - Single
1959 - ""I'll Never Smile Again"" - Single
1959 - ""Sometimes I'm Happy"" - Single
1959 - ""When I Fall In Love"" - Single
1959 - ""Why Does It Get So Late So Early?"" - Single
1959 - ""Maybe You'll Be There"" - Single
1959 - ""Bye Bye Baby"" - Single
1959 - ""I Hadn’t Anyone Till You"" - Single
1959 - ""And So To Sleep Again"" - Single
1959 - ""You're Just In Love"" - Single
1959 - ""There's No Fool Like A Young Fool"" - Single
1959 - ""Waitin' For Fall"" - Single
1959 - ""You're Gonna Change (Or I'm Gonna Leave)"" - Single
1959 - ""Moonlight Bay"" - Single
1959 - ""(I'll Be With You In) Apple Blossom Time"" - Single
Filmography
4/26/1959 - ""Meet Me In St. Louis"" - TV special
1959 - ""That Kind of Woman"" - Film
1959 - ""They Came to Cordura"" - Film
11/1/1959 - ""Disaster"" (General Electric Theatre) - TV show
Photoshoots
1959 - The That Kind of Woman photoshoot
8/1959 - The ""Poolside Picnic"" photoshoot1960: R.F.D. era
Discography
1960 - R.F.D. - Album
1960 - ""It Makes No Difference Now"" - Single
1960 - ""Invitation To The Blues"" - Single
1960 - ""I Gotta Have My Baby Back"" - Single
1960 - ""Black Coat"" - Single
1960 - ""Bumming Around"" - Single
1960 - ""Hey Good Lookin'"" - Single
1960 - ""Oh Lonesome Me"" - Single
1960 - ""Headin' Down The Wrong Highway"" - Single
1960 - ""I'm So Lonesome I Could Cry"" - Single
1960 - ""I've Got A New Heartache"" - Single
1960 - ""It's The Bottle Talking"" - Single
1960 - ""Any Time"" - Single
1960 - ""Again"" - Single
Filmography
1960 - ""The Tab Hunter Show"" - TV show1961: Young Love era
Appearances & Shows
6/1/1961 - The Ford Show
6/7/1961 - Summer On Ice
Discography
1961 - Tab Hunter - EP
1961 - ""The Wild Side of Life"" - Single
1961 - ""Bye Bye Love"" - Single
1961 - ""But I Do"" - Single
1961 - ""My Devotion"" - Single
1961 - Young Love - Album
1961 - ""The Way You Look Tonight"" - Single
1961 - ""She's Not That Kind"" - Single
1961 - ""The Wild Side of Life"" - Single
1961 - ""Bye Bye Love"" - Single
1961 - ""But I Do"" - Single
1956 - ""Young Love"" - Single
1957 - ""Ninety-Nine Ways"" - Single
1957 - ""Red Sails In The Sunset"" - Single
1961 - ""Oh Happy Day"" - Single
1961 - ""You Cheated"" - Single
1961 - ""Kiss Her One Time For Me"" - Single
1961 - ""My Devotion"" - Single
1961 - ""Young Love (1961 Re-Record)"" - Single
Filmography
1961 - ""The Tab Hunter Show"" - TV show
6/1/1961 - ""The Pleasure of His Company"" - Film1981-1982: Revival era
Discography
1981 - ""Polyester"" - Single
6/11/1982 - ""Reproduction"" - Single
Filmography
5/29/1981 - ""Polyester"" - Film
12/18/1981 - ""Night Nurse"" (Strike Force) - TV show
4/2/1982 - ""Pandemonium""  - Film
6/11/1982 - ""Grease 2"" - Film2005-2018: Tab Hunter Confidential era
Awards & Accomplishments
2005 - New York Times bestseller (United States)
2015 - California Independent Film Festival (United States)
2015 - Cleveland International Film Festival (United States)
2015 - FilmOut San Diego (United States)
2015 - Key West Film Festival (United States)
2015 - Louisville LGBT Film Festival (United States)
2015 - Miami Gay and Lesbian Film Festival (United States)
2016 - GLAAD Media Awards (United States)
Filmography
10/16/2015 - ""Tab Hunter Confidential"" - Film
Interviews
10/23/2005 - Tab Hunter interviewed on CBS Sunday Morning
2005 - Tab Hunter interviewed by TCM
3/18/2015 - Was James Dean Gay or Bisexual? Matinee Idol Pal Tab Hunter Weighs In on the Rumors
8/13/2015 - Tab Hunter mini-essay for The Hollywood Reporter
10/21/2015 - Tab Hunter (with Allan Glaser) interviewed by Slant Magazine
11/4/2015 - Tab Hunter (with Allan Glaser) interviewed by Scott Feinberg for ""Academy Conversations""
11/20/2015 - A Star Was Born: Tab Hunter
2015 - TAB HUNTER CONFIDENTIAL Q&A: The Time Tab's Mom Asked Him About Tony Perkins
3/19/2017 - Tab Hunter interviewed by Studio 10
7/9/2018 - Tab Hunter mini-essay for Attitude4Embed"
High Hopes (Single),Frank Sinatra,0,1959,"The Division Bell - 20th Anniversary Box Set LyricsTrack listing:
1) Cluster One
2) What Do You Want From Me
3) Poles Apart
4) Marooned
5) A Great day For Freedom
6) Wearing The Inside Out
7) Take It Back
8) Coming Back To Life
9) Keep Talking
10) Lost For Words
11) High Hopes

Disc 1 – LP

Original album, remastered for vinyl in 2014 from the original analogue masters. Includes full-length tracks across 2-LP’s for the first time.

Disc 2 – Blu-Ray (all previously unreleased)

- 2014 “Marooned” video – directed by Aubrey Powell with stereo and 5.1 audio soundtracks
- 5.1 audio mix of THE DIVISION BELL by Andy Jackson in 96khz/ 24-bit
- HD audio stereo mix of THE DIVISION BELL by James Guthrie 96khz/ 24-bit

Disc 3 – Red vinyl 7” single “Take It Back” (edit) / “Astronomy Domine” (Live)
Replica 7” red vinyl in picture sleeve
Disc 4 – Clear vinyl 7” single “High Hopes” (edit) / “Keep Talking” (edit)
Replica 7” clear vinyl in picture sleeve plus poster bag

Disc 5 – Blue Vinyl 12” single “High Hopes” / “Keep Talking” / “One Of These Days” (live)
Replica 12” blue vinyl, laser etched design on reverse, picture sleeve. Includes 7 collectible film cards in a wallet

Disc 6 – CD Album
2011 Discovery version of THE DIVISION BELL in a new dedicated wallet

Plus:
5 x 26cm x 26 cm art prints designed by Hipgnosis/StormStudiosEmbed"
A Fool Such As I (Single),Elvis Presley,0,1959,"Amours de Voyage (Canto V) LyricsThere is a city, upbuilt on the quays of the turbulent Arno,
Under Fiesole's heights,—thither are we to return?
There is a city that fringes the curve of the inflowing waters,
Under the perilous hill fringes the beautiful bay,—
Parthenope, do they call thee?—the Siren, Neapolis, seated
Under Vesevus's hill,—are we receding to thee?—
Sicily, Greece, will invitе, and the Orient;—or are wе turn to
England, which may after all be for its children the best?

I. Mary Trevellyn, at Lucerne, to Miss Roper, at Florence.

So you are really free, and living in quiet at Florence;
That is delightful news; you travelled slowly and safely;
Mr. Claude got you out; took rooms at Florence before you;
Wrote from Milan to say so; had left directly for Milan,
Hoping to find us soon;—if he could, he would, you are certain.—
Dear Miss Roper, your letter has made me exceedingly happy.
You are quite sure, you say, he asked you about our intentions;
You had not heard as yet of Lucerne, but told him of Como.—
Well, perhaps he will come; however, I will not expect it.
Though you say you are sure,—if he can, he will, you are certain.
O my dear, many thanks from your ever affectionate Mary.

II. Claude to Eustace.

Florence.
Action will furnish belief,—but will that belief be the true one?
This is the point, you know.  However, it doesn't much matter.
What one wants, I suppose, is to predetermine the action,
So as to make it entail, not a chance belief, but the true one.
Out of the question, you say; if a thing isn't wrong we may do it.
Ah! but this WRONG, you see—but I do not know that it matters.
Eustace, the Ropers are gone, and no one can tell me about them.
Pisa.
Pisa, they say they think, and so I follow to Pisa,
Hither and thither inquiring.  I weary of making inquiries.
I am ashamed, I declare, of asking people about it.—
Who are your friends?  You said you had friends who would certainly know them.

Florence.
But it is idle, moping, and thinking, and trying to fix her
Image once more and more in, to write the whole perfect inscription
Over and over again upon every page of remembrance.
I have settled to stay at Florence to wait for your answer.
Who are your friends?  Write quickly and tell me.  I wait for your answer.

III. Mary Trevellyn to Miss Roper.—at Lucca Baths.

You are at Lucca baths, you tell me, to stay for the summer;
Florence was quite too hot; you can't move further at present.
Will you not come, do you think, before the summer is over?
Mr. C. got you out with very considerable trouble;
And he was useful and kind, and seemed so happy to serve you.
Didn't stay with you long, but talked very openly to you;
Made you almost his confessor, without appearing to know it,—
What about?—and you say you didn't need his confessions.
O my dear Miss Roper, I dare not trust what you tell me!
Will he come, do you think?  I am really so sorry for him.
They didn't give him my letter at Milan, I feel pretty certain.
You had told him Bellaggio.  We didn't go to Bellaggio;
So he would miss our track, and perhaps never come to Lugano,
Where we were written in full, To Lucerne across the St. Gothard.
But he could write to you;—you would tell him where you were going.
IV. Claude to Eustace.

Let me, then, bear to forget her.  I will not cling to her falsely:
Nothing factitious or forced shall impair the old happy relation.
I will let myself go, forget, not try to remember;
I will walk on my way, accept the chances that meet me,
Freely encounter the world, imbibe these alien airs, and
Never ask if new feelings and thoughts are of her or of others.
Is she not changing herself?—the old image would only delude me.
I will be bold, too, and change,—if it must be.  Yet if in all things,
Yet if I do but aspire evermore to the Absolute only,
I shall be doing, I think, somehow, what she will be doing;—
I shall be thine, O my child, some way, though I know not in what way,
Let me submit to forget her; I must; I already forget her.

V. Claude to Eustace.

Utterly vain is, alas! this attempt at the Absolute,—wholly!
I, who believed not in her, because I would fain believe nothing,
Have to believe as I may, with a wilful, unmeaning acceptance.
I, who refused to enfasten the roots of my floating existence
In the rich earth, cling now to the hard, naked rock that is left me,—
Ah! she was worthy, Eustace,—and that, indeed, is my comfort,—
Worthy a nobler heart than a fool such as I could have given her.

——————————
Yes, it relieves me to write, though I do not send, and the chance that
Takes may destroy my fragments.  But as men pray, without asking
Whether One really exist to hear or do anything for them,—
Simply impelled by the need of the moment to turn to a Being
In a conception of whom there is freedom from all limitation,—
So in your image I turn to an ens rationis of friendship,
Even so write in your name I know not to whom nor in what wise.

——————————

There was a time, methought it was but lately departed,
When, if a thing was denied me, I felt I was bound to attempt it;
Choice alone should take, and choice alone should surrender.
There was a time, indeed, when I had not retired thus early,
Languidly thus, from pursuit of a purpose I once had adopted,
But it is all over, all that!  I have slunk from the perilous field in
Whose wild struggle of forces the prizes of life are contested.
It is over, all that!  I am a coward, and know it.
Courage in me could be only factitious, unnatural, useless.

——————————

Comfort has come to me here in the dreary streets of the city,
Comfort—how do you think?—with a barrel-organ to bring it.
Moping along the streets, and cursing my day as I wandered,
All of a sudden my ear met the sound of an English psalm-tune,
Comfort me it did, till indeed I was very near crying.
Ah, there is some great truth, partial, very likely, but needful,
Lodged, I am strangely sure, in the tones of the English psalm-tune.
Comfort it was at least; and I must take without question
Comfort, however it come, in the dreary streets of the city.

——————————

What with trusting myself and seeking support from within me,
Almost I could believe I had gained a religious assurance,
Formed in my own poor soul a great moral basis to rest on.
Ah, but indeed I see, I feel it factitious entirely;
I refuse, reject, and put it utterly from me;
I will look straight out, see things, not try to evade them;
Fact shall be fact for me, and the Truth the Truth as ever,
Flexible, changeable, vague, and multiform, and doubtful.-
Off, and depart to the void, thou subtle, fanatical tempter!

——————————

I shall behold thee again (is it so?) at a new visitation,
O ill genius thou!  I shall at my life's dissolution
(When the pulses are weak, and the feeble light of the reason
Flickers, an unfed flame retiring slow from the socket),
Low on a sick-bed laid, hear one, as it were, at the doorway,
And, looking up, see thee standing by, looking emptily at me;
I shall entreat thee then, though now I dare to refuse thee,—
Pale and pitiful now, but terrible then to the dying.—
Well, I will see thee again, and while I can, will repel thee.

VI. Claude to Eustace.

Rome is fallen, I hear, the gallant Medici taken,
Noble Manara slain, and Garibaldi has lost il Moro;—
Rome is fallen; and fallen, or falling, heroical Venice.
I, meanwhile, for the loss of a single small chit of a girl, sit
Moping and mourning here,—for her, and myself much smaller.
Whither depart the souls of the brave that die in the battle,
Die in the lost, lost fight, for the cause that perishes with them?
Are they upborne from the field on the slumberous pinions of angels
Unto a far-off home, where the weary rest from their labour,
And the deep wounds are healed, and the bitter and burning moisture
Wiped from the generous eyes? or do they linger, unhappy,
Pining, and haunting the grave of their by-gone hope and endeavour?
All declamation, alas! though I talk, I care not for Rome nor
Italy; feebly and faintly, and but with the lips, can lament the
Wreck of the Lombard youth, and the victory of the oppressor.
Whither depart the brave?—God knows; I certainly do not.

VII. Mary Trevellyn to Miss Roper.

He has not come as yet; and now I must not expect it.
You have written, you say, to friends at Florence, to see him,
If he perhaps should return;—but that is surely unlikely.
Has he not written to you?—he did not know your direction.
Oh, how strange never once to have told him where you were going!
Yet if he only wrote to Florence, that would have reached you.
If what you say he said was true, why has he not done so?
Is he gone back to Rome, do you think, to his Vatican marbles?—
O my dear Miss Roper, forgive me! do not be angry!—
You have written to Florence;—your friends would certainly find him.
Might you not write to him?—but yet it is so little likely!
I shall expect nothing more.—Ever yours, your affectionate Mary.

VIII. Claude to Eustace.

I cannot stay at Florence, not even to wait for a letter.
Galleries only oppress me.  Remembrance of hope I had cherished
(Almost more than as hope, when I passed through Florence the first time)
Lies like a sword in my soul.  I am more a coward than ever,
Chicken-hearted, past thought.  The caffes and waiters distress me.
All is unkind, and, alas! I am ready for anyone's kindness.
Oh, I knew it of old, and knew it, I thought, to perfection,
If there is any one thing in the world to preclude all kindness
It is the need of it,—it is this sad, self-defeating dependence.
Why is this, Eustace?  Myself, were I stronger, I think I could tell you.
But it is odd when it comes.  So plumb I the deeps of depression,
Daily in deeper, and find no support, no will, no purpose.
All my old strengths are gone.  And yet I shall have to do something.
Ah, the key of our life, that passes all wards, opens all locks,
Is not I WILL, but I MUST.  I must,—I must,—and I do it.

——————————

After all, do I know that I really cared so about her?
Do whatever I will, I cannot call up her image;
For when I close my eyes, I see, very likely, St. Peter's,
Or the Pantheon facade, or Michel Angelo's figures,
Or, at a wish, when I please, the Alban hills and the Forum,—
But that face, those eyes,—ah, no, never anything like them;
Only, try as I will, a sort of featureless outline,
And a pale blank orb, which no recollection will add to.
After all, perhaps there was something factitious about it;
I have had pain, it is true: I have wept; and so have the actors.

——————————

At the last moment I have your letter, for which I was waiting;
I have taken my place, and see no good in inquiries.
Do nothing more, good Eustace, I pray you.  It only will vex me.
Take no measures.  Indeed, should we meet, I could not be certain;
All might be changed, you know.  Or perhaps there was nothing to be changed.
It is a curious history, this; and yet I foresaw it;
I could have told it before.  The Fates, it is clear, are against us;
For it is certain enough I met with the people you mention;
They were at Florence the day I returned there, and spoke to me even;
Stayed a week, saw me often; departed, and whither I know not.
Great is Fate, and is best.  I believe in Providence partly.
What is ordained is right, and all that happens is ordered.
Ah, no, that isn't it.  But yet I retain my conclusion.
I will go where I am led, and will not dictate to the chances.
Do nothing more, I beg.  If you love me, forbear interfering.

IX.  Claude to Eustace.

Shall we come out of it all, some day, as one does from a tunnel?
Will it be all at once, without our doing or asking,
We shall behold clear day, the trees and meadows about us,
And the faces of friends, and the eyes we loved looking at us?
Who knows?  Who can say?  It will not do to suppose it.

X. Claude to Eustace,-from Rome.

Rome will not suit me, Eustace; the priests and soldiers possess it;
Priests and soldiers:—and, ah! which is the worst, the priest or the soldier?
Politics, farewell, however!  For what could I do? with inquiring,
Talking, collating the journals, go fever my brain about things o'er
Which I can have no control.  No, happen whatever may happen,
Time, I suppose, will subsist; the earth will revolve on its axis;
People will travel; the stranger will wander as now in the city;
Rome will be here, and the Pope the custode of Vatican marbles.
I have no heart, however, for any marble or fresco;
I have essayed it in vain; 'tis in vain as yet to essay it:
But I may haply resume some day my studies in this kind;
Not as the Scripture says, is, I think, the fact.  Ere our death-day,
Faith, I think, does pass, and Love; but Knowledge abideth.
Let us seek Knowledge;—the rest may come and go as it happens.
Knowledge is hard to seek, and harder yet to adhere to.
Knowledge is painful often; and yet when we know we are happy.
Seek it, and leave mere Faith and Love to come with the chances.
As for Hope,—to-morrow I hope to be starting for Naples.
Rome will not do, I see, for many very good reasons.
Eastward, then, I suppose, with the coming of winter, to Egypt.

XI. Mary Trevellyn to Miss Roper.

You have heard nothing; of course I know you can have heard nothing.
Ah, well, more than once I have broken my purpose, and sometimes,
Only too often, have looked for the little lake steamer to bring him.
But it is only fancy,—I do not really expect it.
Oh, and you see I know so exactly how he would take it:
Finding the chances prevail against meeting again, he would banish
Forthwith every thought of the poor little possible hope, which
I myself could not help, perhaps, thinking only too much of;
He would resign himself, and go.  I see it exactly.
So I also submit, although in a different manner.
Can you not really come?  We go very shortly to England.
——————————
So go forth to the world, to the good report and the evil!
Go, little book! thy tale, is it not evil and good?
